(Table with row headers in Col A and column headers in row 5),,,,,,,
Table 3.  World Region and Country or Area of Birth of the Foreign-Born Population: 1960 to 2000,,,,,,,
(Leading dots indicate subparts),,,,,,,
"(See text for sources, definitions, and explanations)",,,,,,,
Region and country or area,2000*,1990*,1980*,1970*,1960*,,
...         Pakistan.......................................................,"223,477","91,889","30,774","6,182","1,708",,
"...         Soviet Union (former, part).......................................................","38,120",(NA),(NA),(NA),(NA),,
....            Kazakhstan.......................................................,"9,154",(NA),(NA),(NA),(NA),,
....            Kyrgyzstan.......................................................,"2,376",(NA),(NA),(NA),(NA),,
....            Tajikistan.......................................................,"2,665",(NA),(NA),(NA),(NA),,
....            Turmenistan.......................................................,896,(NA),(NA),(NA),(NA),,
....            Uzbekistan.......................................................,"23,029",(NA),(NA),(NA),(NA),,
...         Sri Lanka.......................................................,"25,263","14,022","5,576",(NA),(NA),,
,,,,,,,
..      South Eastern Asia.......................................................,"3,044,288","1,968,210","919,646",(NA),(NA),,
...         Burma.......................................................,"32,588","19,835","11,236",(NA),(NA),,
...         Cambodia.......................................................,"136,978","118,833","20,175",(NA),(NA),,
...         Indonesia.......................................................,"72,552","48,387","29,920",(NA),(NA),,
...         Laos.................................................……......,"204,284","171,577","54,881",(NA),(NA),,
...         Malaysia.......................................................,"49,459","33,834","10,473",(NA),(NA),,
...         Philippines.......................................................,"1,369,070","912,674","501,440","184,842","104,843",,
...         Singapore.......................................................,"20,762","12,889","5,598",(NA),(NA),,
...         Thailand.......................................................,"169,801","106,919","54,803",(NA),(NA),,
...         Vietnam.......................................................,"988,174","543,262","231,120",(NA),(NA),,
,,,,,,,
..      Western Asia.......................................................,"658,603","400,313","281,426","174,053","132,697",,
...         Cyprus.......................................................,"11,087","10,060","8,806",(NA),(NA),,
...         Iraq.................................................………....,"89,892","44,916","32,121",(NA),(NA),,
...         Israel.................................................…….....,"109,719","86,048","66,961","35,858","17,724",,
...         Jordan.......................................................,"46,794","31,871","21,587",(NA),(NA),,
...         Kuwait.......................................................,"20,367","8,889","4,337",(NA),(NA),,
...         Lebanon.......................................................,"105,910","86,369","52,674","22,396","22,217",,
...         Palestine 5 .......................................................,(NA),"21,070",(NA),(NA),(NA),,
...         Saudi Arabia.......................................................,"21,083","12,632","17,317",(NA),(NA),,
"...         Soviet Union (former, part).......................................................","90,013",(NA),(NA),(NA),(NA),,
....            Armenia.......................................................,"65,280",(NA),(NA),(NA),(NA),,
....            Azerbaijan.......................................................,"14,205",(NA),(NA),(NA),(NA),,
....            Georgia.......................................................,"10,528",(NA),(NA),(NA),(NA),,
...         Syria.................................................…….....,"54,561","36,782","22,081","14,962","16,717",,
...         Turkey.......................................................,"78,378","55,087","51,915","48,085","52,228",,
...         United Arab Emirates....................................................…,"6,744","1,656",534,(NA),(NA),,
...         Yemen.......................................................,"19,210","4,933","3,093",(NA),(NA),,
...         Middle East n.e.c........................................................,(NA),(NA),(NA),"52,752","23,811",,
