No.,Gender,Age,Studies,Studies,Position,Date Hired
61,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
62,Male,31,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
63,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
64,Female,37,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
65,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
66,Male,49,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
67,Female,27,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
68,Male,38,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
69,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
70,Female,27,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
71,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
72,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
73,Male,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
74,Female,51,Middle School,Middle School,"AGENTE FEDERAL DE MIGRACION ""C""",4/16/13
75,Male,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
76,Male,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
77,Female,31,Technical College,Technical College,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
78,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
79,Male,27,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
80,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
81,Female,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
82,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
83,Female,32,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
84,Female,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
85,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
86,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
87,Female,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
88,Female,35,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
89,Female,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
90,Female,44,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
91,Female,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
92,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
93,Male,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
94,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
95,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
96,Male,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
97,Female,38,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
98,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
99,Male,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
100,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
101,Male,35,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
102,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
103,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
104,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
105,Male,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
106,Female,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
107,Male,47,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
108,Male,40,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
109,Male,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
110,Male,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
111,Male,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
112,Female,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/16/13
